Pasal,Isi Pasal
Pasal 66,registrasi identifikasi kendara motor kali penuh syarat a milik sertifikat registrasi uji tipe b milik bukti milik kendara motor sah c milik hasil periksa cek fisik kendara motor
Pasal 67,1 registrasi identifikasi kendara motor bayar pajak kendara motor bayar sumbang wajib dana celaka lalu-lintas angkut jalan selenggara integrasi koordinasi sistem administrasi manunggal atap 2 sarana prasarana selenggara sistem administrasi manunggal atap maksud ayat 1 sedia perintah daerah 3 mekanisme selenggara sistem administrasi manunggal atap koordinasi polisi negara republik indonesia 4 kena syarat prosedur laksana sistem administrasi manunggal atap maksud ayat 1 atur atur presiden
Pasal 68,1 kendara motor operasi jalan wajib lengkap surat tanda nomor kendara motor tanda nomor kendara motor 2 surat tanda nomor kendara motor maksud ayat 1 muat data kendara motor identitas milik nomor registrasi kendara motor laku 3 tanda nomor kendara motor maksud ayat 1 muat kode wilayah nomor registrasi laku 4 tanda nomor kendara motor penuh syarat bentuk ukur bahan warna pasang 5 tanda nomor kendara motor maksud ayat 3 tanda nomor kendara motor khusus tanda nomor kendara motor rahasia 6 kena surat tanda nomor kendara motor tanda nomor kendara motor atur atur kepala polisi negara republik indonesia
Pasal 69,1 kendara motor registrasi operasi jalan lengkap surat tanda coba kendara motor tanda coba nomor kendara motor 2 surat tanda coba kendara motor tanda coba nomor kendara motor maksud ayat 1 polisi negara republik indonesia badan usaha bidang jual rakit impor kendara motor 3 kena syarat tata surat tanda coba kendara motor tanda coba nomor kendara motor atur atur kepala polisi negara republik indonesia
Pasal 70,1 buku milik kendara motor laku milik dipindahtangankan 2 surat tanda nomor kendara motor tanda nomor kendara motor laku 5 kesah 3 jangka maksud ayat 2 surat tanda nomor kendara motor tanda nomor kendara motor wajib aju mohon
Pasal 71,1 milik kendara motor wajib lapor polisi negara republik indonesia a bukti registrasi hilang rusak b spesifikasi teknis fungsi kendara motor ubah c milik kendara motor alih d kendara motor 3 wilayah kendara registrasi 2 lapor kendara motor maksud ayat 1 huruf a huruf b huruf c polisi negara republik indonesia kendara motor registrasi 3 lapor kendara motor maksud ayat 1 huruf d polisi negara republik indonesia kendara motor operasi
Pasal 72,1 registrasi kendara motor tentara nasional indonesia atur atur panglima tentara nasional indonesia lapor data polisi negara republik indonesia 2 registrasi kendara motor polisi negara republik indonesia atur atur kepala polisi negara republik indonesia 3 registrasi kendara motor wakil negara asing lembaga internasional atur atur kepala polisi negara republik indonesia
Pasal 73,1 kendara motor registrasi hapus daftar registrasi identifikasi kendara motor dasar a milik kendara motor b usul jabat wenang izin angkut 2 kendara motor angkut wajib hapus daftar registrasi identifikasi kendara motor
Pasal 74,1 kendara motor registrasi maksud pasal 64 ayat 1 hapus daftar registrasi identifikasi kendara motor dasar a milik kendara motor b timbang jabat wenang laksana registrasi kendara motor 2 hapus registrasi identifikasi kendara motor maksud ayat 1 huruf b laku a kendara motor rusak berat operasi b milik kendara motor laku registrasi ulang 2 habis laku surat tanda nomor kendara motor 3 kendara motor hapus maksud ayat 1 registrasi
Pasal 75,kena buku milik kendara motor hapus registrasi identifikasi kendara motor maksud pasal 70 pasal 73 pasal 74 atur atur kepala polisi negara republik indonesia delap sanksi administratif
Pasal 76,1 orang langgar pasal 53 ayat 1 pasal 54 ayat 2 ayat 3 pasal 60 ayat 3 kena sanksi administratif upa a tulis b bayar denda c beku izin d cabut izin 2 orang selenggara bengkel langgar pasal 60 ayat 3 kena sanksi administratif upa a tulis b bayar denda c tutup bengkel 3 tugas kesah swasta langgar pasal 54 ayat 2 ayat 3 kena sanksi administratif upa a tulis b bayar denda c beku sertifikat kesah d cabut sertifikat kesah 4 tugas uji kesah uji langgar pasal 54 ayat 2 ayat 3 kena sanksi administratif sesuai atur undang 5 kena kriteria tata kena sanksi administratif maksud ayat 1 ayat 2 ayat 3 atur atur perintah
Pasal 77,1 orang kemudi kendara motor jalan wajib milik surat izin kemudi sesuai jenis kendara motor kemudi 2 surat izin kemudi maksud ayat 1 2 jenis a surat izin kemudi kendara motor orang b surat izin kemudi kendara motor 3 surat izin kemudi calon kemudi milik kompetensi kemudi didik latih ajar 4 surat izin kemudi kendara motor calon kemudi wajib didik latih kemudi angkut 5 didik latih maksud ayat 4 orang milik surat izin kemudi kendara motor orang paragraf 2
Pasal 78,1 didik latih kemudi selenggara lembaga izin akreditasi perintah 2 izin selenggara didik latih kemudi perintah maksud ayat 1 laksana perintah daerah 3 izin selenggara didik latih kemudi perintah daerah maksud ayat 2 laksana dasar norma standar prosedur kriteria menteri bidang sarana prasarana lalu-lintas angkut jalan kepala polisi negara republik indonesia 4 akreditasi maksud ayat 1 laku perintah sesuai atur undang
Pasal 79,1 calon kemudi ajar kemudi uji praktik kemudi jalan wajib damping instruktur uji 2 instruktur uji maksud ayat 1 tanggung langgar celaka lalu-lintas calon kemudi ajar jalan uji paragraf 3 bentuk golong surat izin kemudi
Pasal 80,surat izin kemudi kendara motor orang maksud pasal 77 ayat 2 huruf a golong a surat izin kemudi a laku kemudi mobil tumpang barang orang berat 3 500 ribu ratus kilogram b surat izin kemudi b i laku kemudi mobil tumpang barang orang berat 3 500 ribu ratus kilogram c surat izin kemudi b ii laku kemudi kendara alat berat kendara tarik kendara motor tarik kereta tempel gandeng orang berat kereta tempel gandeng 1 000 ribu kilogram d surat izin kemudi c laku kemudi sepeda motor e surat izin kemudi d laku kemudi kendara khusus sandang cacat
Pasal 81,1 surat izin kemudi maksud pasal 77 orang penuh syarat usia administratif sehat lulus uji 2 syarat usia maksud ayat 1 rendah a usia 17 tujuh belas surat izin kemudi a surat izin kemudi c surat izin kemudi d b usia 20 puluh surat izin kemudi b i c usia 21 puluh surat izin kemudi b ii 3 syarat administratif maksud ayat 1 liput a identitas upa kartu tanda duduk b isi formulir mohon c rumus sidik jari 4 syarat sehat maksud ayat 1 liput a sehat jasmani surat terang dokter b sehat rohani surat lulus tes psikologis 5 syarat lulus uji maksud ayat 1 liput a uji teori b uji praktik c uji terampil simulator 6 syarat maksud ayat 2 ayat 3 ayat 4 ayat 5 kemudi kendara motor aju mohon a surat izin kemudi b i milik surat izin kemudi a 12 belas b surat izin kemudi b ii milik surat izin kemudi b i 12 belas
Pasal 82,surat izin kemudi kendara motor maksud pasal 77 ayat 2 huruf b golong a surat izin kemudi a laku kemudi kendara motor barang berat 3 500 ribu ratus kilogram b surat izin kemudi b i laku kemudi mobil tumpang barang berat 3 500 ribu ratus kilogram c surat izin kemudi b ii laku kemudi kendara tarik kendara motor tarik kereta tempel gandeng berat kereta tempel gandeng 1 000 ribu kilogram
Pasal 83,1 orang aju mohon milik surat izin kemudi kendara motor penuh syarat usia syarat khusus 2 syarat usia surat izin kemudi kendara motor maksud ayat 1 rendah a usia 20 puluh surat izin kemudi a b usia 22 puluh surat izin kemudi b i c usia 23 puluh surat izin kemudi b ii 3 syarat khusus maksud ayat 1 a lulus uji teori liput kena 1 layan angkut 2 fasilitas fasilitas sosial 3 uji kendara motor 4 tata angkut orang barang 5 wilayah domisili 6 jenis barang bahaya 7 operasi alat aman b lulus uji praktik liput 1 turun tumpang barang terminal 2 tata angkut orang barang 3 isi surat muat 4 etika kemudi kendara motor 5 operasi alat aman 4 perhati syarat usia kemudi kendara motor aju mohon a surat izin kemudi a milik surat izin kemudi a 12 belas b surat izin kemudi b i milik surat izin kemudi b i surat izin kemudi a sekurang- 12 belas c surat izin kemudi b ii milik surat izin kemudi b ii surat izin kemudi b i sekurang- 12 belas 5 penuh syarat usia syarat khusus maksud ayat 2 ayat 3 orang aju mohon surat izin kemudi kendara motor penuh maksud pasal 81 ayat 3 ayat 4
Pasal 84,surat izin kemudi kendara motor surat izin kemudi kendara motor berat rendah a surat izin kemudi a laku kemudi kendara motor surat izin kemudi a b surat izin kemudi b i laku kemudi kendara motor surat izin kemudi a c surat izin kemudi b i laku kemudi kendara motor surat izin kemudi a surat izin kemudi a surat izin kemudi b i d surat izin kemudi b ii laku kemudi kendara motor surat izin kemudi a surat izin kemudi b i e surat izin kemudi b ii laku kemudi kendara motor surat izin kemudi a surat izin kemudi a surat izin kemudi b i surat izin kemudi b i surat izin kemudi b ii
Pasal 85,1 surat izin kemudi bentuk kartu elektronik bentuk 2 surat izin kemudi laku 5 3 surat izin kemudi maksud ayat 1 laku wilayah negara republik indonesia 4 janji bilateral multilateral negara republik indonesia negara surat izin kemudi terbit indonesia laku negara surat izin kemudi terbit negara laku indonesia 5 pegang surat izin kemudi maksud ayat 4 surat izin kemudi internasional terbit polisi negara republik indonesia paragraf 4
Pasal 86,1 surat izin kemudi fungsi bukti kompetensi kemudi 2 surat izin kemudi fungsi registrasi kemudi kendara motor muat terang identitas lengkap kemudi 3 data registrasi kemudi dukung giat lidi sidi identifikasi forensik polisi terbit tanda surat izin kemudi paragraf 1
Pasal 87,1 surat izin kemudi calon kemudi lulus uji kemudi 2 surat izin kemudi maksud ayat 1 terbit polisi negara republik indonesia 3 polisi negara republik indonesia wajib selenggara sistem informasi terbit surat izin kemudi 4 tugas polisi negara republik indonesia bidang terbit surat izin kemudi maksud ayat 2 wajib taat prosedur terbit surat izin kemudi
Pasal 88,kena tata syarat uji terbit surat izin kemudi atur atur kepala polisi negara republik indonesia paragraf 2
Pasal 89,1 polisi negara republik indonesia wenang tanda data langgar hadap surat izin kemudi milik kemudi laku langgar tindak pidana lalu-lintas 2 polisi negara republik indonesia wenang tahan cabut surat izin kemudi putus adil 3 kena tanda data langgar maksud ayat 1 ayat 2 atur atur kepala polisi negara republik indonesia kerja kemudi
Pasal 90,1 usaha angkut wajib patuh laku kena kerja istirahat ganti kemudi kendara motor sesuai atur undang 2 kerja kemudi kendara motor maksud ayat 1 8 delapan jam 3 kemudi kendara motor kemudi kendara 4 jam wajib istirahat singkat jam 4 kemudi kerja 12 belas jam masuk istirahat 1 jam sanksi administratif
Pasal 91,1 tugas polisi negara republik indonesia bidang terbit surat izin kemudi langgar maksud pasal 87 ayat 4 kena sanksi administratif upa sanksi disiplin etika profesi polisi 2 kena tata prosedur kena sanksi administratif maksud ayat 1 atur atur kepala polisi negara republik indonesia
Pasal 92,1 usaha angkut patuh laku kena kerja istirahat ganti kemudi kendara maksud pasal 90 kena sanksi administratif 2 sanksi administratif maksud ayat 1 upa a tulis b denda administratif c beku izin d cabut izin 3 kena kriteria tata kena sanksi administratif maksud ayat 2 atur atur perintah
Pasal 93,1 manajemen rekayasa lalu-lintas laksana optimal jaring jalan gera lalu-lintas rangka jamin aman selamat tertib lancar lalu-lintas angkut jalan 2 manajemen rekayasa lalu-lintas maksud ayat 1 laku a prioritas angkut massal sedia lajur jalur jalan khusus b prioritas selamat nyaman pejal kaki c mudah sandang cacat d pisah pilah gera arus lalu-lintas dasar lahan mobilitas aksesibilitas e madu moda angkut f kendali lalu-lintas simpang g kendali lalu-lintas ruas jalan h lindung hadap lingkung 3 manajemen rekayasa lalu-lintas liput giat a rencana b atur c rekayasa d daya e awas
Pasal 94,1 giat rencana maksud pasal 93 ayat 3 huruf a liput a identifikasi lalu-lintas b inventarisasi analisis situasi arus lalu-lintas c inventarisasi analisis butuh angkut orang barang d inventarisasi analisis sedia daya tampung jalan e inventarisasi analisis sedia daya tampung kendara f inventarisasi analisis angka langgar celaka lalu-lintas g inventarisasi analisis dampak lalu-lintas h tingkat layan i rencana bijak atur jaring jalan gera lalu-lintas 2 giat atur maksud pasal 93 ayat 3 huruf b liput a bijak jaring jalan gera lalu-lintas jaring jalan b informasi masyarakat laksana bijak 3 giat rekayasa maksud pasal 93 ayat 3 huruf c liput a geometrik ruas jalan simpang lengkap jalan kait langsung jalan b pasang pelihara lengkap jalan kait langsung jalan c optimalisasi operasional rekayasa lalu-lintas rangka tingkat tertib lancar efektivitas tega hukum 4 giat daya maksud pasal 93 ayat 3 huruf d liput a arah b bimbing c suluh d latih e bantu teknis 5 giat awas maksud pasal 93 ayat 3 huruf e liput a nilai hadap laksana bijak b tindak korektif hadap bijak c tindak tega hukum
Pasal 95,1 bijak jaring jalan gera lalu-lintas maksud pasal 94 ayat 2 huruf a upa perintah larang atur a atur menteri bidang sarana prasarana lalu-lintas angkut jalan jalan nasional b atur daerah provinsi jalan provinsi c atur daerah kabupaten jalan kabupaten jalan desa d atur daerah kota jalan kota 2 perintah larang maksud ayat 1 nyata rambu lalu-lintas marka jalan alat isyarat lalu-lintas paragraf 2
Pasal 96,1 menteri bidang sarana prasarana lalu-lintas angkut jalan tanggung laksana manajemen rekayasa lalu-lintas maksud pasal 94 ayat 1 huruf a huruf b huruf c huruf e huruf g huruf h huruf i pasal 94 ayat 2 pasal 94 ayat 3 huruf b pasal 94 ayat 4 pasal 94 ayat 5 huruf a huruf b jaring jalan nasional 2 menteri bidang jalan tanggung laksana manajemen rekayasa lalu-lintas maksud pasal 94 ayat 1 huruf a huruf b huruf d huruf g huruf h huruf i pasal 94 ayat 3 huruf a jalan nasional 3 kepala polisi negara republik indonesia tanggung laksana manajemen rekayasa lalu-lintas maksud pasal 94 ayat 1 huruf a huruf b huruf f huruf g huruf i pasal 94 ayat 3 huruf c pasal 94 ayat 5 4 gubernur tanggung laksana manajemen rekayasa lalu-lintas maksud ayat 1 ayat 2 jalan provinsi rekomendasi instansi kait 5 bupati tanggung laksana manajemen rekayasa lalu-lintas maksud ayat 1 ayat 2 jalan kabupaten jalan desa rekomendasi instansi kait 6 walikota tanggung laksana manajemen rekayasa lalu-lintas maksud ayat 1 ayat 2 jalan kota rekomendasi instansi kait
Pasal 97,1 ubah arus lalu-lintas situasional polisi negara republik indonesia laksana manajemen rekayasa lalu-lintas polisi 2 manajemen rekayasa lalu-lintas polisi maksud ayat 1 laku rambu lalu-lintas alat isyarat lalu-lintas alat kendali kam jalan sifat 3 polisi negara republik indonesia rekomendasi laksana manajemen rekayasa lalu-lintas instansi kait
Pasal 98,1 tanggung laksana manajemen rekayasa lalu-lintas wajib koordinasi analisis evaluasi lapor laksana dasar data kerja 2 lapor laksana maksud ayat 1 forum lalu-lintas angkut jalan analisis dampak lalu-lintas
Pasal 99,1 rencana bangun pusat giat mukim infrastruktur timbul ganggu aman selamat tertib lancar lalu-lintas angkut jalan wajib laku analisis dampak lalu-lintas 2 analisis dampak lalu-lintas maksud ayat 1 muat a analisis bangkit tari lalu-lintas angkut jalan b simulasi kerja lalu-lintas kembang c rekomendasi rencana implementasi tangan dampak d tanggung perintah kembang bangun tangan dampak e rencana pantau evaluasi 3 hasil analisis dampak lalu-lintas maksud ayat 1 rupa salah syarat kembang izin perintah perintah daerah atur perundang- undang
Pasal 100,1 analisis dampak lalu-lintas maksud pasal 99 ayat 1 laku lembaga konsultan milik tenaga ahli sertifikat 2 hasil analisis dampak lalu-lintas maksud pasal 99 ayat 3 tuju instansi kait bidang lalu-lintas angkut jalan
Pasal 101,kena laksana analisis dampak lalu-lintas maksud pasal 99 pasal 100 atur atur perintah utama alat isyarat lalu-lintas rambu lalu-lintas marka jalan tugas wenang paragraf 1 syarat prosedur pasang alat isyarat lalu-lintas rambu lalu-lintas marka jalan
Pasal 102,1 alat isyarat lalu-lintas rambu lalu-lintas marka jalan sifat perintah larang jaring ruas jalan pasang selesai 60 enam puluh tanggal laku atur menteri bidang sarana prasarana lalu-lintas angkut jalan atur daerah maksud pasal 95 ayat 1 2 alat isyarat lalu-lintas rambu lalu-lintas marka jalan maksud ayat 1 kuat hukum laku ikat 30 puluh tanggal pasang 3 kena kuat hukum alat isyarat lalu-lintas rambu lalu-lintas marka jalan atur atur perintah paragraf 2 utama alat isyarat lalu-lintas rambu lalu-lintas
Pasal 103,1 alat isyarat lalu-lintas sifat perintah larang utama rambu lalu-lintas marka jalan 2 rambu lalu-lintas sifat perintah larang utama marka jalan 3 kondisi macet lalu-lintas gerak kendara fungsi marka kotak kuning utama alat isyarat lalu-lintas sifat perintah larang 4 kena rambu lalu-lintas marka jalan alat isyarat lalu-lintas maksud ayat 1 atur atur menteri tanggung bidang sarana prasarana lalu-lintas angkut jalan paragraf 3 utama tugas
Pasal 104,1 tertib lancar lalu-lintas angkut jalan tugas polisi negara republik indonesia laku tindak a henti arus lalu-lintas jalan b perintah jalan jalan c cepat arus lalu-lintas d lambat arus lalu-lintas e alih arah arus lalu-lintas 2 tindak maksud ayat 1 wajib utama perintah alat isyarat lalu-lintas rambu lalu-lintas marka jalan 3 jalan wajib patuh perintah tugas polisi negara republik indonesia maksud ayat 1 4 atur kena maksud ayat 1 atur kepala polisi negara republik indonesia tata berlalu-lintas paragraf 1 tertib selamat
Pasal 105,orang jalan wajib a perilaku tertib b cegah rintang bahaya aman selamat lalu-lintas angkut jalan timbul rusa jalan
Pasal 106,1 orang kemudi kendara motor jalan wajib kemudi kendara wajar penuh konsentrasi 2 orang kemudi kendara motor jalan wajib utama selamat pejal kaki sepeda 3 orang kemudi kendara motor jalan wajib patuh syarat teknis laik jalan 4 orang kemudi kendara motor jalan wajib patuh a rambu perintah rambu larang b marka jalan c alat isyarat lalu-lintas d gera lalu-lintas e henti parkir f bunyi sinar g cepat maksimal minimal h tata gandeng tempel kendara 5 periksa kendara motor jalan orang kemudi kendara motor wajib a surat tanda nomor kendara motor surat tanda coba kendara motor b surat izin kemudi c bukti lulus uji d tanda bukti sah 6 orang kemudi kendara motor roda jalan tumpang duduk samping wajib kena sabuk selamat 7 orang kemudi kendara motor roda lengkap rumah jalan tumpang duduk samping wajib kena sabuk selamat kena helm penuh standar nasional indonesia 8 orang kemudi sepeda motor tumpang sepeda motor wajib kena helm penuh standar nasional indonesia 9 orang kemudi sepeda motor kereta samping larang bawa tumpang 1 orang paragraf 2 lampu utama
Pasal 107,1 kemudi kendara motor wajib nyala lampu utama kendara motor jalan malam kondisi 2 kemudi sepeda motor patuh maksud ayat 1 wajib nyala lampu utama siang paragraf 3
Pasal 108,1 berlalu-lintas jalan jalur jalan belah kiri 2 jalur jalan belah kanan laku a kemudi maksud kendara b perintah tugas polisi negara republik indonesia jalur kiri 3 sepeda motor kendara motor cepat rendah mobil barang kendara motor lajur kiri jalan 4 lajur belah kanan kendara cepat belok kanan ubah arah kendara
Pasal 109,1 kemudi kendara motor kendara lajur jalur jalan belah kanan kendara jarak pandang bebas sedia ruang 2 kemudi maksud ayat 1 lajur jalan belah kiri perhati aman selamat lalu-lintas angkut jalan 3 kendara isyarat lajur jalur jalan belah kanan kemudi maksud ayat 1 larang kendara
Pasal 110,1 kemudi papas kendara arah lawan jalan arah pisah wajib ruang gerak belah kanan kendara 2 kemudi maksud ayat 1 halang rintang jalan wajib kendara arah lawan
Pasal 111,jalan tanjak turun kendara papas kemudi kendara arah turun wajib jalan kendara daki paragraf 4 belok simpang
Pasal 112,1 kemudi kendara belok arah wajib situasi lalu-lintas samping kendara isyarat lampu arah isyarat tangan 2 kemudi kendara pindah lajur gerak samping wajib situasi lalu-lintas samping kendara isyarat 3 simpang jalan lengkap alat isyarat lalu-lintas kemudi kendara larang langsung belok kiri kecuali rambu lalu-lintas alat isyarat lalu-lintas
Pasal 113,1 simpang bidang kendali alat isyarat lalu-lintas kemudi wajib hak utama a kendara arah arah cabang simpang nyata rambu lalu-lintas marka jalan b kendara jalan utama kemudi cabang simpang pekarang batas jalan c kendara arah cabang simpang belah kiri cabang simpang 4 d kendara arah cabang belah kiri simpang 3 tegak lurus e kendara arah cabang simpang lurus simpang 3 tegak lurus 2 simpang lengkap alat kendali lalu-lintas bentuk bundar kemudi hak utama kendara arah kanan
Pasal 114,lintas bidang jalur kereta api jalan kemudi kendara wajib a henti sinyal bunyi palang pintu kereta api tutup isyarat b kereta api c hak utama kendara lintas rel paragraf 5 cepat
Pasal 115,kemudi kendara motor jalan larang a kemudi kendara batas cepat maksud pasal 21 b balap kendaran motor
Pasal 116,1 kemudi lambat kendara sesuai rambu lalu-lintas 2 sesuai rambu lalu-lintas maksud ayat 1 kemudi lambat kendara a kendara motor turun tumpang b kendara motor tarik hewan hewan tunggang hewan giring c cuaca hujan genang air d pasuk pusat giat masyarakat nyata rambu lalu-lintas e simpang lintas bidang kereta api f lihat pejal kaki seberang
Pasal 117,kemudi lambat kendara situasi lalu-lintas samping kendara bahaya kendara paragraf 6 henti
Pasal 118,kendara motor trayek kendara motor henti jalan kecuali a rambu larang henti marka jalan gar utuh b bahaya aman selamat ganggu tertib lancar lalu-lintas angkut jalan c jalan tol
Pasal 119,1 kemudi kendara motor mobil bus sekolah henti turun tumpang wajib isyarat tanda henti 2 kemudi kendara kendara motor mobil bus sekolah henti maksud ayat 1 wajib henti kendara
Pasal 120,parkir kendara jalan laku sejajar bentuk sudut arah lalu-lintas
Pasal 121,1 kemudi kendara motor wajib pasang segitiga kam lampu isyarat bahaya isyarat henti parkir darurat jalan 2 maksud ayat 1 laku kemudi sepeda motor kereta samping paragraf 8 kendara motor
Pasal 122,1 kendara kendara motor larang a sengaja biar kendara tarik kendara motor cepat bahaya selamat b angkut tarik benda rintang bahaya jalan c jalur jalan kendara motor sedia jalur jalan khusus kendara motor 2 sepeda larang bawa tumpang kecuali sepeda lengkap tumpang 3 kendara gerobak kereta dorong jalan iring ruang kendara
Pasal 123,sepeda tunarungu tanda kenal sepeda paragraf 9 tata berlalu-lintas kemudi kendara motor
Pasal 124,1 kemudi kendara motor angkut orang trayek wajib a angkut tumpang bayar sesuai tarif b pindah tumpang jalan kendara jenis trayek pungut biaya kendara mogok rusak celaka perintah tugas c lajur jalan lajur kiri kecuali ubah arah d henti kendara turun tumpang e tutup pintu kendara jalan f patuh batas cepat angkut 2 kemudi kendara motor angkut orang trayek tarif ekonomi wajib angkut anak sekolah
Pasal 125,kemudi kendara motor angkut barang wajib jaring jalan sesuai kelas jalan
Pasal 126,kemudi kendara motor angkut orang larang a henti kendara b tem c turun tumpang henti tuju alas patut desak d jaring jalan izin trayek jalan giat lalu-lintas paragraf 1
Pasal 127,1 jalan selenggara giat fungsi laku jalan nasional jalan provinsi jalan kabupaten kota jalan desa 2 jalan nasional jalan provinsi maksud ayat 1 izin sifat nasional 3 jalan kabupaten kota jalan desa maksud ayat 1 izin sifat nasional daerah pribadi paragraf 2
Pasal 128,1 jalan maksud pasal 127 ayat 1 akibat tutup jalan izin jalan alternatif 2 alih arus lalu-lintas jalan alternatif maksud ayat 1 nyata rambu lalu-lintas 3 izin jalan maksud pasal 127 ayat 2 ayat 3 polisi negara republik indonesia paragraf 3 tanggung
Pasal 129,1 jalan fungsi jalan tanggung akibat timbul 2 jabat izin maksud pasal 128 ayat 3 tanggung tugas ruas jalan jaga aman selamat tertib lancar lalu-lintas angkut jalan
Pasal 130,kena jalan giat lalu-lintas maksud pasal 127 pasal 128 pasal 129 atur atur kepala polisi negara republik indonesia enam
Pasal 131,1 pejal kaki hak sedia fasilitas dukung upa trotoar seberang fasilitas 2 pejal kaki hak prioritas seberang jalan seberang 3 sedia fasilitas maksud ayat 1 pejal kaki hak seberang pilih perhati selamat
Pasal 132,1 pejal kaki wajib a jalan pejal kaki jalan tepi b seberang 2 seberang maksud ayat 1 huruf b pejal kaki wajib perhati selamat lancar lalu-lintas 3 pejal kaki sandang cacat kena tanda khusus mudah nali jalan tujuh manajemen butuh lalu-lintas
Pasal 133,1 tingkat efisiensi efektivitas ruang lalu-lintas kendali gera lalu-lintas selenggara manajemen butuh lintas dasar kriteria a banding volume lalu-lintas kendara motor kapasitas jalan b sedia jaring layan angkut c kualitas lingkung 2 manajemen butuh lalu-lintas maksud ayat 1 laksana a batas lalu-lintas kendara orang koridor kawasan jalan b batas lalu-lintas kendara barang koridor kawasan jalan c batas lalu-lintas sepeda motor koridor kawasan jalan d batas lalu-lintas kendara motor sesuai klasifikasi fungsi jalan e batas ruang parkir kawasan batas ruang parkir maksimal f batas lalu-lintas kendara motor koridor kawasan jalan 3 batas lalu-lintas maksud ayat 2 huruf a huruf b laku kena retribusi kendali lalu-lintas tingkat kerja lalu-lintas tingkat layan angkut sesuai atur undang 4 manajemen butuh lalu-lintas evaluasi menteri tanggung bidang sarana prasarana lalu-lintas angkut jalan perintah provinsi perintah kabupaten kota sesuai lingkup wenang libat instansi kait 5 kena manajemen butuh lalu-lintas atur atur perintah delap hak utama jalan lancar paragraf 1
Pasal 134,jalan hak utama sesuai urut a kendara madam bakar laksana tugas b ambulans angkut orang sakit c kendara tolong celaka lalu-lintas d kendara pimpin lembaga negara republik indonesia e kendara pimpin jabat negara asing lembaga internasional tamu negara f iring jenazah g konvoi kendara timbang tugas polisi negara republik indonesia paragraf 2
Pasal 135,1 kendara hak utama maksud pasal 134 kawal tugas polisi negara republik indonesia isyarat lampu merah biru bunyi sirene 2 tugas polisi negara republik indonesia laku aman jalan maksud ayat 1 3 alat isyarat lalu-lintas rambu lalu-lintas laku kendara hak utama maksud pasal 134 sembilan sanksi administratif
Pasal 136,1 orang langgar maksud pasal 99 ayat 1 pasal 100 ayat 1 pasal 128 kena sanksi administratif 2 sanksi administratif maksud ayat 1 upa a tulis b henti layan c henti giat d denda administratif e batal izin f cabut izin 3 kena kriteria tata kena sanksi administratif maksud ayat 1 ayat 2 atur atur perintah
Pasal 137,1 angkut orang barang kendara motor kendara motor 2 angkut orang kendara motor upa sepeda motor mobil tumpang bus 3 angkut barang kendara motor wajib mobil barang 4 mobil barang larang angkut orang kecuali a rasio kendara motor angkut orang kondisi geografis prasarana jalan provinsi kabupaten kota b kerah latih tentara nasional indonesia polisi negara republik indonesia c dasar timbang polisi negara republik indonesia perintah daerah 5 kena mobil barang angkut orang maksud ayat 4 atur atur perintah
Pasal 138,1 angkut selenggara upaya penuh butuh angkut selamat aman nyaman jangkau 2 perintah tanggung selenggara angkut maksud ayat 1 3 angkut orang barang laku kendara motor
Pasal 139,1 perintah wajib jamin sedia angkut jasa angkut orang barang antarkota antarprovinsi lintas batas negara 2 perintah daerah provinsi wajib jamin sedia angkut jasa angkut orang barang antarkota provinsi 3 perintah daerah kabupaten kota wajib jamin sedia angkut jasa angkut orang barang wilayah kabupaten kota 4 sedia jasa angkut laksana badan usaha milik negara badan usaha milik daerah badan hukum sesuai atur undang angkut orang kendara motor paragraf 1
Pasal 140,layan angkut orang kendara motor a angkut orang kendara motor trayek b angkut orang kendara motor trayek paragraf 2
Pasal 141,1 usaha angkut wajib penuh standar layan minimal liput a aman b selamat c nyaman d jangkau e tara f atur 2 standar layan minimal maksud ayat 1 dasar jenis layan 3 kena standar layan minimal maksud ayat 1 atur atur menteri tanggung bidang sarana prasarana lalu-lintas angkut jalan paragraf 3
Pasal 142,jenis layan angkut orang kendara motor trayek maksud pasal 140 huruf a a angkut lintas batas negara b angkut antarkota antarprovinsi c angkut antarkota provinsi d angkut kota e angkut desa
Pasal 143,kriteria layan angkut orang kendara motor trayek maksud pasal 140 huruf a a milik rute atur b jadwal turun tumpang terminal angkut antarkota lintas batas negara c turun tumpang angkut kota desa
Pasal 144,jaring trayek butuh kendara motor susun dasar a tata ruang wilayah b tingkat jasa angkut c sedia jasa angkut d sedia jaring lalu-lintas angkut jalan e sesuai kelas jalan f padu intramoda angkut g padu antarmoda angkut
Pasal 145,1 jaring trayek butuh kendara motor maksud pasal 144 susun bentuk rencana jaring trayek 2 susun rencana jaring trayek maksud ayat 1 laku koordinasi instansi kait 3 rencana jaring trayek maksud ayat 1 a jaring trayek lintas batas negara b jaring trayek antarkota antarprovinsi c jaring trayek antarkota provinsi d jaring trayek kota e jaring trayek desa 4 rencana jaring trayek maksud ayat 1 kaji ulang 5
Pasal 146,1 jaring trayek kota maksud pasal 145 ayat 3 huruf d susun dasar kawasan kota 2 kawasan kota layan angkut maksud ayat 1 a menteri tanggung bidang sarana prasana lalu-lintas angkut jalan kawasan kota lampau batas wilayah provinsi b gubernur kawasan kota lampau batas wilayah kabupaten kota provinsi c bupati walikota kawasan kota wilayah kabupaten kota
