Pertanyaan,Jawaban
mobil dikendarai raden memenuhi persyaratan laik jalan akibatnya raden diancam pidana,dipidana pidana kurungan 2 denda rp500000
orang mengemudikan kendaraan bermotor jalan melanggar aturan perintah larangan dinyatakan rambu linta marka jalan sebutkan ancaman pidananya,dipidana pidana kurungan 2 denda rp500000
nona cantik menerobo lampu merah persimpangan jalan sebutkan ancaman pidananya,dipidana pidana kurungan 2 denda rp500000
tuan bento memarkir mobilnya sembarang ancaman pidananya,dipidana pidana kurungan 1 denda rp250000
barni menepikan kendaraannya rombongan mobil pemadam kebakaran memadamkan api kebakaran tindakan barni salah dipidana,dipidana pidana kurungan 1 denda rp250000
orang mengemudikan kendaraan bermotor jalan melanggar aturan bata kecepatan rendah sebutkan ancaman pidananya,dipidana pidana kurungan 2 denda rp500000
orang mengemudikan kendaraan bermotor jalan dilengkapi surat tanda nomor kendaraan bermotor surat tanda coba kendaraan bermotor ditetapkan kepolisian negara republik indonesia diancam pidana ancaman pidananya,dipidana pidana kurungan 2 denda rp500000
razia kelalauiannya makmur diancam pidana sebutkan ancaman pidananya,dipidana pidana kurungan 1 danatau denda rp250000
orang mengemudikan kendaraan bermotor penumpang duduk samp pengemudi mengenakan sabuk keselamatan sebutkan ancaman pidananya,dipidana pidana kurungan 1 denda rp250000
beralasan harga mahal tindakan fulan dibenarkan diancam pidana,dipidana pidana kurungan 1 denda rp250000
nyonya fulana berboncengan motor suaminya helm standar sni sebutkan ancaman pidananya,dipidana pidana kurungan 1 denda rp250000
orang mengemudikan kendaraan bermotor jalan menyalakan lampu utama malam kondisi sebutkan ancaman pidananya,dipidana pidana kurungan 1 denda rp250000
jack menyelakan lampu utama motornya mengendarai motor siang alasan tindakan jack dibenarkan diancam pidana ancaman pidananya,dipidana pidana kurungan 15 bela denda rp100000
orang mengemudikan kendaraan bermotor membelok berbalik arah ancaman pidananya,dipidana pidana kurungan 1 denda rp250000
orang mengemudikan kendaraan bermotor berpindah lajur bergerak samp isyarat ancaman pidananya,dipidana pidana kurungan 1 denda rp250000
menerobo perlintasan kereta api jalan berhenti sinyal berbunyi ancaman pidananya,dipidana pidana kurungan 3 denda rp750000
roni reno hobbi berbalapan motor jalan raya tindakan diancam pidana sebutkan ancaman pidananya,dipidana pidana kurungan 1 denda rp3000000
orang mengemudikan kendaraan bermotor memasang segitiga pengaman sebutkan ancaman pidananya,dipidana pidana kurungan 2 denda rp500000
orang mengemudikan kendaraan bermotor terlibat kecelakaan linta sengaja menghentikan kendaraannya sebutkan ancaman pidananya,dipidana pidana penjara 3 denda rp75000000
pidana penjara pidana tambahan,pencabutan surat izin mengemudi ganti kerugian diakibatkan tindak pidana linta
orang mengendarai kendaraan bermotor sengaja berpegang kendaraan bermotor ditarik ancaman pidananya,dipidana pidana kurungan 15 bela denda rp100000
mobil barang dilarang angkutan orang a rasio kendaraan bermotor angkutan orang kondisi geografi prasarana jalan provinsikabupatenkota memadai b pengerahan pelatihan tentara nasion indonesia danatau kepolisian negara republik indonesia c kepentingan berdasarkan pertimbangan kepolisian negara republik indonesia danatau pemerintah daerah orang mengemudikan mobil barang mengangkut orang diluar alasan diata ancaman pidananya,pidana kurungan 1 denda rp250000
tuan fulan pengemudi angkot mengemudikan angkotnya ancaman pidananya,pidana kurungan 1 denda rp250000
fulan pengemudi angkutan penumpang kerap kali melewati jaringan jalan ditentukan izin trayek tindakan fulan dibenarkan diancam pidana sebutkan ancaman pidananya,pidana kurungan 1 denda rp250000
orang mengemudikan kendaraan angkutan orang tujuan menaikkan menurunkan penumpang perjalanan kendaraan angkutan sesuai angkutan keperluan ancaman pidnanya,dipidana pidana kurungan 1 denda rp250000
orang mengemudikan kendaraan bermotor mengangkut barang khusu memenuhi ketentuan persyaratan keselamatan ancaman pidananya,dipidana pidana kurungan 2 denda rp500000
orang mengemudikan kendaraan angkutan barang dilengkapi surat muatan dokumen perjalanan ancaman pidananya,dipidana pidana kurungan 1 denda rp250000
orang mengemudikan kendaraan bermotor angkutan barang mematuhi ketentuan tata pemuatan sebutkan ancaman pidananya,dipidana pidana kurungan 2 denda rp500000
orang mengemudikan kendaraan bermotor memiliki izin menyelenggarakan angkutan orang trayek ancaman pidananya,dipidana pidana kurungan 2 denda rp500000
orang mengasuransikan tanggung penggantian kerugian diderita penumpang sebutkan ancaman pidananya,pidana kurungan 6 enam denda rp1500000
nona fulana mengemudikan mobil menelepon temannya kehilangan konsentrasi mengemudi akibatnya sebutkan ancaman pidananya,pidana penjara 5 danatau denda rp10000000
perusahaan angkutan wajib mengasuransikan orang dipekerjakan awak kendaraan orang mengasuransikan awak kendaraannya sebutkan ancaman pidananya,pidana kurungan 6 enam denda rp1500000
